public_private,region,prefecture,affiliation,institute_head,name_of_laboratory,lab_head,electricity_existence,principle_source,group_or_other_emergency_source,type_of_protection,ele_obs,total_staff,training_1,training_2,training_3,training_4,training_5,shipping_packaging_available,ship_obs,patients_per_day,centrifuge_#,centrifuge_func,centrifuge_why,temp_(2-8)#,fridge_func,phone,phone_obs,fax,fax_obs,computer,computer_obs,internet,internet_obs,latitude,longitude,tdr_palu,tdr_hiv,widal,hb_sahli,list_of_all_exams,hierarchy,pdiag_hiv,pdiag_palu,pdiag_widal,pdiag_hb_sahli,pcomm,pship,training
public,boke,boffa,hp,Dr. Kaman Isac Kolie,hp labs boffa,Conte Yaya,1,Solar energy,Yes,Taken from the ground,,7.0,biochemistry,bacteriology,hematology,parasitology,serology,Yes,Triple packaging,10.0,2.0,1 Yes 1 No,vetuste,2.0,No,0,,0,,0,,0,,10.177999999999999,-14.030999999999999,1,1,1,1,"Urinalysis; frotis vaginal; BK; CSF; semen analysis; pregnancy test; GLUCOSE; albuminerie; glucourie; GE; microfilaria; stool HB, TE; NFS blood grouping; hematocrit; BW; Widal; Aslo, hepatitis B and C",Guinea.boke.boffa.hp_labs_boffa,1.0,1.0,1.0,1.0,0,1.0,"biochemistry,bacteriology,hematology,parasitology,serology"
public,boke,fria,cs,Honore Bore,cs lab sabende,Marie Juliette Sylla,1,Generator,Yes,Stabilizer,No power by public network ,4.0,bacteriology,serology,sample transport,hematology,parasitology,No,No,20.0,0.0,,,0.0,,0,,0,,0,,0,,10.370727,-13.584125,1,1,1,1,TDR / Palu; Widal; glucose; Aslo; BW; HBsAg; HIV; Hb (sally); urinary sediment; stools,Guinea.boke.fria.cs_lab_sabende,1.0,1.0,1.0,1.0,0,0.0,"bacteriology,serology,sample transport,hematology,parasitology"
public,boke,fria,hp,Dr. Camara Sekouba,biomedical lab and blood transfusion fria,Dr. Ramata Doukoure,0,Generator,Yes,"Other or combination (specify in ""comments"")","UPS, stabilizer; there are solar panels but only blood bank; fequentes cuts",4.0,bacteriology,biochemistry,immunology,hematology,parasitology,No,No,6.0,1.0,Yes,,1.0,No,0,,0,,1,,0,,10.370727,-13.584125,1,1,1,1,"Hb; NFS; VS; TC; TS Saddles GE; Search microfilariae; TE; sputum, vaginal secretions, urine cultures; Glucose; creatinine urea; transaminase; cholesterol HIV RPR; Aslo; Widal; HBsAg; CD4; blood grouping",Guinea.boke.fria.biomedical_lab_and_blood_transfusion_fria,1.0,1.0,1.0,1.0,0,0.0,"bacteriology,biochemistry,immunology,hematology,parasitology"
mining company,boke,boke,hospital,Dr. Diallo binta Teliwell,laboratory hospital anaim kamsar,Dr. Kova Zoumanigui / Acting,1,Other,Yes,"Other or combination (specify in ""comments"")",ups; lightning rod stabilizers; ground terminal,18.0,hematology,biochemistry,bacteriology (antimicrobial),sero-immunology,molecular biology,No,No,100.0,2.0,Yes,,6.0,Yes,0,,0,,1,,0,,10.665213,-14.603128,0,1,1,0,"Urea glucose: uric acid, creatinine, cholesterol and fractions; calcium; alkaline phosphatase, acid phosphatase, transaminases, bilirubin, total protein, albumin, blood typing; thick film; microfilaria; stools chemistry urine; LCR ANTIBIOGRAM; Hepatitis b and c; PSA; troponin; A1C; BLOOD COUNT cmplet; Hemostasis; stools; drop thick; Widal; ASLO; syphilis; Toxoplasmosis; RUBEOL; .crp; biochemistry of hormones; Spermogram",Guinea.boke.boke.laboratory_hospital_anaim_kamsar,1.0,0.0,1.0,0.0,0,0.0,"hematology,biochemistry,bacteriology (antimicrobial),sero-immunology,molecular biology"
public,boke,boke,cs,Dr. Emilie Tenin Beavogui,cs lab kassapo,Moussa Camara Kindia,0,public network,Yes,Stabilizer,,9.0,biochemistry,hematology,bacteriology,lab management,sample,No,No,15.0,0.0,,,0.0,,0,,0,,0,,0,,10.66526,-14586066.0,1,1,1,1,"Widal, HIV TDR, TDR Palu, hemoglobin, erythrocyte sedimentation rate, blood glucose, aslo, RPR, proteinuria, emmel test",Guinea.boke.boke.cs_lab_kassapo,1.0,1.0,1.0,1.0,0,0.0,"biochemistry,hematology,bacteriology,lab management,sample"
public,boke,boke,cs,Dr. Abdourahamane Bangoura,cs lab dibia,Thierno Aboubacar Balde,0,Other,No,Any,No source of energy so that the lab only works day,4.0,sample,hiv screening,hematology,bacteriology,biochemistry,No,No,0.0,1.0,Yes,,0.0,,0,,0,,0,,0,,10.934619,-14.291773000000001,1,1,1,1,"TDR malaria and HIV, Hb; stool microscopy, TE, Widal, RPR, microscopic examination of vaginal secretions, urine sediment, Aslo, Blood Glucose, Pregnancy Test, Albumin",Guinea.boke.boke.cs_lab_dibia,0.0,0.0,0.0,0.0,0,0.0,"sample,hiv screening,hematology,bacteriology,biochemistry"
public,boke,boke,hr,Dr. Sekou Ahmed Tidiane Barry,hr boke lab,Sekou Camara Naba,1,public network,Yes,"Other or combination (specify in ""comments"")","Stabilsateur, lightning rod",17.0,biochemistry,parasitology,blood transfusion,bacteriology,hematology,Yes,Triple packaging,40.0,2.0,1 Yes 1 No,antiquated,2.0,Yes,0,,0,,1,Nonfunctional,0,,10.94,-14.29,1,1,1,1,"Hb, NFS, Tc Ts, TE, blood Goupage, GE, stool microscopy, microfilaria search, albumin, Aslo, Toxoplasmosis, RPR, Vidal, TDR HbS, urinary sediment, vaginal smears, CSF",Guinea.boke.boke.hr_boke_lab,1.0,1.0,1.0,1.0,0,1.0,"biochemistry,parasitology,blood transfusion,bacteriology,hematology"
public,boke,gaoual,hp,Dr. Diaka Mady Cisse,hp labs gaoual,Thierno Aliou Sow,1,Solar energy,Yes,"Other or combination (specify in ""comments"")","Stabilizer, lightning rod",7.0,blood transfusion,biosecurity,serology,bacteriology,hematology,No,No,15.0,2.0,1 Yes 1 No,,3.0,No,0,,0,,0,,0,,11.76368,-13.200053,0,1,1,1,"Stool microfilaria research thick Drop, HB, NFS, VS, TE, TC, TS, glucose, urine sediment, pregnancy test, HIV TDR, TDR hepatitis B, RPR, Widal",Guinea.boke.gaoual.hp_labs_gaoual,1.0,0.0,1.0,1.0,0,0.0,"blood transfusion,biosecurity,serology,bacteriology,hematology"
public,boke,koundara,cs,Soumaoro Glima,cs lab saraboido,Diakite Mande,0,Other,No,Any,No source of energy,3.0,serology,hematology,biochemistry,bacteriology,parasitology,No,No,10.0,0.0,,,0.0,,0,,0,,0,,0,,12.403208,-13.5283,1,1,0,1,"HIV, Glucose, Hb, albumin in the urine, stool examination (if microscope works)",Guinea.boke.koundara.cs_lab_saraboido,1.0,1.0,0.0,1.0,0,0.0,"serology,hematology,biochemistry,bacteriology,parasitology"
public,boke,koundara,hp,Dr. Mohamed Sompare,hp labs koundara,Barry Mamadou Oury,0,Solar energy,Yes,"Other or combination (specify in ""comments"")","UPS, stabilizer, lightning rod; generator failed, a panel is just the fridge",6.0,bacteriology,biochemistry,hematology,parasitology,serology,No,Existence of coolers,,3.0,"Other (specify in ""comments"")",electric current causes lack inoperative electrical centrifugieuses,3.0,1 Yes 1 No,0,,0,,0,,0,,12.491184,-13.295664000000002,1,1,1,1,"NFS, urinalysis, biochemistry urine, sputum, stool microscopy, glucose, Aslo, Widal, TDR HIV, pregnancy test, LCR, GE, semen analysis, vaginal smear",Guinea.boke.koundara.hp_labs_koundara,0.25,0.25,0.25,0.25,0,0.25,"bacteriology,biochemistry,hematology,parasitology,serology"
